,job_titles,company_names,experiences,locations,descriptions_url,skills_sets
0,Data Analyst ,infoanalytica consulting pvt ltd,5 - 8 yrs,Ahmedabad,https://www.timesjobs.com/job-detail/data-analyst-infoanalytica-consulting-pvt-ltd-ahmedabad-5-to-8-yrs-jobid-xEPbiv5__PLUS__2aRzpSvf__PLUS__uAgZw==&source=srp,"['business rules', 'sql', 'Data Analyst']"
1,Data Analyst ,ikomet Technology Solutions Pvt. Ltd.,0 - 3 yrs,Chennai,https://www.timesjobs.com/job-detail/data-analyst-ikomet-technology-solutions-pvt-ltd-chennai-0-to-3-yrs-jobid-IY7Ug32__PLUS__6DVzpSvf__PLUS__uAgZw==&source=srp,"['macros', 'visualization', 'bi', 'data analyst', 'vba']"
2,Data Analyst ,ACENET TECHNOLOGIES,10 - 15 yrs,"Gurgaon,  Delhi,  Delhi/NCR,  Pune,  Bengaluru / Bangalore",https://www.timesjobs.com/job-detail/data-analyst-acenet-technologies-gurgaon-delhi-delhi-ncr-pune-bengaluru-bangalore-10-to-15-yrs-jobid-vlpD6MnRaX9zpSvf__PLUS__uAgZw==&source=srp,"['bi', 'dashboards', 'data analyst', 'sql', 'tableau']"
3,Data Analyst ,Koch Global Business Services,0 - 3 yrs,Bengaluru / Bangalore,https://www.timesjobs.com/job-detail/data-analyst-koch-global-business-services-bengaluru-bangalore-0-to-3-yrs-jobid-ZpBIzDjDvqRzpSvf__PLUS__uAgZw==&source=srp,"['functional analyst', 'dashboards', 'data analytics', 'data analysis', 'data analyst', 'tableau']"
4,Data Analyst ,ADROIT LEARNING AND MANPOWER PVT LTD,7 - 10 yrs,Ahmedabad,https://www.timesjobs.com/job-detail/data-analyst-adroit-learning-and-manpower-pvt-ltd-ahmedabad-7-to-10-yrs-jobid-O6rsbebTEJNzpSvf__PLUS__uAgZw==&source=srp,"['data analysis', 'dashboards', 'data analyst', 'sql', 'tableau', 'infrastructure', 'data visualization']"
5,Data Analyst ,Citibank India,0 - 2 yrs,Pune,https://www.timesjobs.com/job-detail/data-analyst-citibank-india-pune-0-to-2-yrs-jobid-LI9LtxI9jJNzpSvf__PLUS__uAgZw==&source=srp,"['data analysis', 'sas', 'information management', 'spss', 'data analyst', 'analyst']"
6,Data Analyst ,crescendo global,3 - 7 yrs,"Gurgaon,  Mumbai,  Pune",https://www.timesjobs.com/job-detail/data-analyst-crescendo-global-gurgaon-mumbai-pune-3-to-7-yrs-jobid-RjtFggc2GA9zpSvf__PLUS__uAgZw==&source=srp,"['bi', 'sql', 'data science', 'press', 'data analytics', 'data analysis', 'consulting', 'data analyst', 'tableau', 'written communication']"
7,Data Analyst ,Target Corporation India Pvt Ltd,2 - 5 yrs,Bengaluru / Bangalore,https://www.timesjobs.com/job-detail/data-analyst-target-corporation-india-pvt-ltd-bengaluru-bangalore-2-to-5-yrs-jobid-uSOuN5Y4J__SLASH__ZzpSvf__PLUS__uAgZw==&source=srp,"['dashboards', 'sql', 'data analysis', 'data analytics', 'data reports', 'data analyst', 'business intelligence reporting', 'statistical analysis']"
8,Data Analyst ,Jio Saavan,3 - 4 yrs,"Gurgaon,  Mumbai,  Bengaluru / Bangalore",https://www.timesjobs.com/job-detail/data-analyst-jio-saavan-gurgaon-mumbai-bengaluru-bangalore-3-to-4-yrs-jobid-lr1HqOpdOEtzpSvf__PLUS__uAgZw==&source=srp,"['data mining', 'dashboards', 'sql', 'advanced analytics', 'data analysis', 'mobile', 'data analyst', 'analytics reporting', 'tableau']"
9,Data Analyst ,reliance games pvt ltd,2 - 5 yrs,Pune,https://www.timesjobs.com/job-detail/data-analyst-reliance-games-pvt-ltd-pune-2-to-5-yrs-jobid-XWnwxp8MEAdzpSvf__PLUS__uAgZw==&source=srp,"['dashboards', 'sql', 'data visualization', 'data analysis', 'data analyst', 'tableau', 'written communication']"
10,Data Analyst ,Veeva Systems,0 - 3 yrs,China,https://www.timesjobs.com/job-detail/data-analyst-veeva-systems-china-0-to-3-yrs-jobid-gziX9I2uKb5zpSvf__PLUS__uAgZw==&source=srp,"['bi', 'sql', 'crm', 'san', 'data analysis', 'customer success', 'information management', 'data analyst', 'tableau']"
11,Data Analyst ,ANR SOFTWARE PVT LTD,0 - 1 yrs,Noida/Greater Noida,https://www.timesjobs.com/job-detail/data-analyst-anr-software-pvt-ltd-noida-greater-noida-0-to-1-yrs-jobid-wiKqbbFOouJzpSvf__PLUS__uAgZw==&source=srp,"['data analytics', 'information management', 'sas', 'spss', 'data analyst', 'sql', 'data science', 'written communication']"
12,Data Analyst ,legalwiz.in private limited,0 - 1 yrs,Ahmedabad,https://www.timesjobs.com/job-detail/data-analyst-legalwiz-in-private-limited-ahmedabad-0-to-1-yrs-jobid-Yg11HKMOaORzpSvf__PLUS__uAgZw==&source=srp,"['information technology', 'data mining', 'data warehousing', 'storage', 'dashboards', 'data analyst', 'tableau', 'data visualization']"
13,Data Analyst ,Nanobi data and analytics pvt ltd,7 - 9 yrs,Bengaluru / Bangalore,https://www.timesjobs.com/job-detail/data-analyst-nanobi-data-and-analytics-pvt-ltd-bengaluru-bangalore-7-to-9-yrs-jobid-Uep6ZgmCjuxzpSvf__PLUS__uAgZw==&source=srp,"['sas', 'consulting', 'bi', 'spss', 'data analyst', 'sql', 'data science', 'data scientist']"
14,Data Analyst ,Sustainable BPO LLP(More Jobs),5 - 10 yrs,₹Rs 4.50 - 6.00 Lacs p.a.,https://www.timesjobs.com/job-detail/data-analyst-sustainable-bpo-llp-other-city-s-in-gujarat-5-to-10-yrs-jobid-uTV20ZecwLpzpSvf__PLUS__uAgZw==&source=srp,"['data analyst', 'data analyst executive', 'Business Analysis', 'Report Creation', 'business analyst', 'market research', 'IT business systems', 'analysis techniques', 'm']"
15,Data Analyst ,RGF Professional,4 - 8 yrs,Hyderabad/Secunderabad,https://www.timesjobs.com/job-detail/data-analyst-rgf-professional-hyderabad-secunderabad-4-to-8-yrs-jobid-lZ7dTnij5wlzpSvf__PLUS__uAgZw==&source=srp,"['visualization', 'dashboards', 'data analytics', 'mining', 'data mining', 'bi', 'data scientist', 'data analysis', 'consulting', 'data analyst', 'tableau', 'analyst']"
16,Data analyst ,Koch Global Business Services,4 - 7 yrs,Bengaluru / Bangalore,https://www.timesjobs.com/job-detail/data-analyst-koch-global-business-services-bengaluru-bangalore-4-to-7-yrs-jobid-HmqxyEZAmVxzpSvf__PLUS__uAgZw==&source=srp,"['business requirements', 'information technology', 'dashboards', 'advanced analytics', 'data cleaning', 'bi', 'business solutions', 'sql', 'data science', 'solution design', 'data analysis', 'sas', 'spotfire', 'consulting', 'data analyst', 'tableau', 'consultant', 'analyst']"
17,Data Analyst ,freshdesk,2 - 3 yrs,Chennai,https://www.timesjobs.com/job-detail/data-analyst-freshdesk-chennai-2-to-3-yrs-jobid-xFmH37LyYldzpSvf__PLUS__uAgZw==&source=srp,"['business requirements', 'bi', 'sql', 'data visualization', 'crm', 'san', 'customer success', 'gap analysis', 'business environment', 'data analyst', 'tableau']"
18,Data Analyst ,druva software,3 - 6 yrs,Pune,https://www.timesjobs.com/job-detail/data-analyst-druva-software-pune-3-to-6-yrs-jobid-qnD6aNfhumlzpSvf__PLUS__uAgZw==&source=srp,"['bi', 'software management', 'dashboards', 'sql', 'data analysis', 'customer success', 'business analysis', 'business analytics', 'data analyst', 'alteryx', 'tableau']"
19,Data Analyst ,ion trading india pvt. ltd.,0 - 3 yrs,Noida/Greater Noida,https://www.timesjobs.com/job-detail/data-analyst-ion-trading-india-pvt-ltd-noida-greater-noida-0-to-3-yrs-jobid-QDeB2K4ih45zpSvf__PLUS__uAgZw==&source=srp,"['bi', 'dashboards', 'sql', 'trading systems', 'software engineering', 'data visualization', 'predictive analysis', 'electronic trading', 'data analysis', 'consulting', 'data analyst', 'written communication', 'infrastructure']"
20,Data Analyst ,TE Connectivity Ltd,2 - 5 yrs,Bengaluru / Bangalore,https://www.timesjobs.com/job-detail/data-analyst-te-connectivity-ltd-bengaluru-bangalore-2-to-5-yrs-jobid-QFdA2diT4x5zpSvf__PLUS__uAgZw==&source=srp,"['information technology', 'bi', 'dashboards', 'sql', 'database', 'solution design', 'crm', 'macros', 'data analysis', 'data analytics', 'sas', 'mining', 'data analyst', 'alteryx', 'tableau', 'business objects']"
21,Data Analyst ,MRI Software LLC,0 - 9 yrs,South Africa,https://www.timesjobs.com/job-detail/data-analyst-mri-software-llc-south-africa-0-to-9-yrs-jobid-4isgRGhKav1zpSvf__PLUS__uAgZw==&source=srp,"['business requirements', 'bi', 'debugging', 'data visualization', 'data analysis', 'analyst']"
